rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
123,ChuChuTV Hindi,"10,900,000.00","4,867,235,429.00",314.00,Education,2018,10.9,48672.35429
124,RKD Studios,"18,100,000.00","4,845,706,770.00",727.00,Entertainment,2014,18.1,48457.0677
125,Galatta Tamil | கலாட்டா தமிழ்,"6,690,000.00","4,842,015,154.00","52,079.00",Entertainment,2010,6.69,48420.15154
126,Oggy Hindi - हिन्दी,"9,560,000.00","4,837,400,403.00",404.00,Entertainment,2019,9.56,48374.00403
127,NDTV,"12,300,000.00","4,807,156,399.00","138,820.00",Entertainment,2006,12.3,48071.56399
128,Noman Official,"11,600,000.00","4,790,726,097.00",443.00,Comedy,2019,11.6,47907.26097
129,MyMissAnand,"13,500,000.00","4,758,074,922.00",302.00,People & Blogs,2014,13.5,47580.74922
130,Single Track Studio,"11,600,000.00","4,697,683,177.00","1,726.00",Entertainment,2010,11.6,46976.83177
131,Rathore Cassettes,"11,200,000.00","4,690,251,694.00","5,348.00",Music,2013,11.2,46902.51694
132,PuthiyathalaimuraiTV,"9,000,000.00","4,665,029,370.00","231,258.00",News & Politics,2012,9,46650.2937
133,RS 1313 LIVE,"5,570,000.00","4,598,344,561.00","5,282.00",Gaming,2020,5.57,45983.44561
134,Gaurav arora Vlogs,"4,530,000.00","4,596,520,355.00","1,230.00",Entertainment,2015,4.53,45965.20355
135,LIV Comedy,"8,240,000.00","4,594,846,095.00","7,841.00",Entertainment,2020,8.24,45948.46095
136,BB Ki Vines,"25,800,000.00","4,560,885,966.00",189.00,Entertainment,2015,25.8,45608.85966
137,Telugu Filmnagar,"11,400,000.00","4,510,251,403.00","25,232.00",Entertainment,2011,11.4,45102.51403
138,ChuChuTV Police & Surprise Eggs,"7,720,000.00","4,478,903,770.00",248.00,Education,2015,7.72,44789.0377
139,ADHARV & COUSINS JOURNEY,"4,270,000.00","4,477,358,153.00",661.00,Entertainment,2020,4.27,44773.58153
140,INDIA EAT MANIA,"4,930,000.00","4,461,005,082.00","1,266.00",Entertainment,2019,4.93,44610.05082
141,Sangeeth Kumar,"6,960,000.00","4,460,398,331.00",545.00,People & Blogs,2021,6.96,44603.98331
142,Hungry Birds,"9,050,000.00","4,448,984,039.00",410.00,Education,2016,9.05,44489.84039
143,Saas Bahu Aur Betiyaan,"6,230,000.00","4,426,725,164.00","33,731.00",People & Blogs,2015,6.23,44267.25164
144,IndiaGlitz Tamil,"6,370,000.00","4,374,141,897.00","33,830.00",Entertainment,2010,6.37,43741.41897
145,Palli Gram TV,"6,890,000.00","4,349,468,538.00",260.00,,2017,6.89,43494.68538
146,माशा एंड द बेयर,"10,000,000.00","4,328,398,708.00",778.00,Film & Animation,2017,10,43283.98708
147,CHHOTU KI MASTI,"12,300,000.00","4,318,326,824.00",112.00,Comedy,2018,12.3,43183.26824
148,Foodie Incarnate,"4,100,000.00","4,283,862,900.00",804.00,People & Blogs,2016,4.1,42838.629
149,Jugnu Kids - Nursery Rhymes and Best Baby Songs,"10,600,000.00","4,280,304,382.00","4,639.00",Education,2015,10.6,42803.04382
150,ARE YOU HUNGRY,"6,200,000.00","4,265,614,884.00",738.00,Entertainment,2020,6.2,42656.14884
